Source_File,model,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd,,
Citrullus lanatus,max,0.873172205,0.007857227,0.987701827,0.010824468,0.729692145,0.003177647,,
Gossypium herbaceum,max,0.875642101,0.013313801,0.827293788,0.111899503,0.808797661,0.010459725,,
Cucumis melo,max,0.901407386,0.003812573,0.981927134,0.021275562,0.776959336,0.00312644,,
Helianthus annuus,max,0.906452758,0.003745353,0.994856689,0.004086115,0.727175957,0.002265641,,
Sesamum indicum,max,0.907008725,0.008735568,0.950615873,0.022349393,0.824290084,0.002289915,,
Cucumis sativus,max,0.907648974,0.004717935,0.981077301,0.010116196,0.799088691,0.005218708,,
Cucurbita moschata,max,0.907789117,0.014131079,0.956250612,0.020706838,0.820316911,0.002890264,,
Gossypium arboreum,max,0.912176092,0.006746563,0.873015778,0.079236984,0.873830339,0.006423368,,
Cucurbita maxima,max,0.915342308,0.009286954,0.970862996,0.012688651,0.828988845,0.002766618,,
Solanum melongena,max,0.917713174,0.008305374,0.986280004,0.006584829,0.818548578,0.006007028,,
Elettaria cardamomum,max,0.918332576,0.030246931,0.990222316,0.006205619,0.911060552,0.012518781,,
Cucurbita pepo,max,0.923586892,0.006066571,0.992581201,0.002404924,0.808804521,0.005156192,,
Gossypium hirsutum,max,0.923972685,0.006929824,0.979716157,0.010417213,0.833825992,0.003515261,,
Glycine max,max,0.928395343,0.008644939,0.971358364,0.016695024,0.841457286,0.004721142,,
Abelmoschus esculentus,max,0.933145491,0.005185839,0.980254214,0.007823292,0.844340926,0.002517281,,
Rubus chamaemorus,max,0.933670455,0.002481821,0.994372304,0.001748281,0.812707569,0.002374137,,
Fragaria_vesca,max,0.935638662,0.004250443,0.993506047,0.004574608,0.782745791,0.002859387,,
Gossypium barbadense,max,0.936434207,0.005412593,0.943134171,0.029566617,0.875134245,0.00347171,,
Rubus_idaeus,max,0.937670392,0.002430832,0.990512975,0.004178989,0.795767235,0.001964226,,
Mangifera indica,max,0.939380288,0.004513434,0.990195591,0.006833286,0.838065934,0.006261876,,
Vicia faba,max,0.939966748,0.004434399,0.989679593,0.004920676,0.821805335,0.004434958,,
Persea americana,max,0.941097998,0.007439294,0.983562935,0.012060096,0.852869436,0.004325276,,
Fagopyrum esculentum,max,0.943358697,0.0039947,0.990882895,0.007411547,0.823285462,0.00269538,,
Brassica napus,max,0.94565048,0.007055999,0.984747647,0.00633657,0.843814866,0.00363166,,
Prunus persica,max,0.951503305,0.007817231,0.983615372,0.010315043,0.848552095,0.007730323,,
Vaccinium_myrtillus,max,0.951900774,0.001819881,0.99110992,0.006003336,0.82384258,0.001388225,,
Vanilla pompona,max,0.952749708,0.007666352,0.906505354,0.043690534,0.928741009,0.003113977,,
Vanilla planifolia,max,0.956124444,0.009817968,0.88436473,0.084747988,0.925315447,0.004165321,,
Prunus armeniaca,max,0.956848882,0.001535241,0.985624663,0.006766915,0.869762364,0.002109377,,
Ribes nigrum,max,0.956875644,0.00423444,0.990876941,0.00848496,0.843816202,0.003529315,,
Anacardium occidentale,max,0.957074343,0.003479059,0.982782271,0.006031566,0.886435609,0.002359434,,
Theobroma cacao,max,0.957884106,0.00473125,0.961553371,0.017511711,0.903546725,0.004758888,,
Coffea arabica,max,0.957968848,0.003115548,0.984789299,0.008790221,0.889344245,0.003206181,,
Malus domestica,max,0.958067407,0.003029526,0.98744715,0.007137437,0.845004015,0.001663158,,
Pyrus communis,max,0.958119151,0.001989496,0.988389548,0.004827645,0.840522126,0.001812073,,
Cocos nucifera,max,0.959168587,0.004215434,0.98786869,0.005628691,0.878328554,0.004745169,,
Sinapis alba,max,0.961866149,0.002086796,0.980687579,0.010253396,0.881712109,0.003863103,,
Fragaria ananassa,max,0.962607595,0.003286262,0.96339246,0.020947306,0.906011911,0.004486383,,
Prunus domestica,max,0.965146685,0.006484896,0.987916491,0.006470701,0.871372687,0.004437262,,
Coffea canephora,max,0.96607881,0.009366379,0.919943755,0.052241177,0.93416346,0.003275549,,
Coffea liberica,max,0.966562846,0.007298461,0.922143807,0.029194138,0.944384986,0.002155909,,
Myristica fragrans,max,0.966816667,0.012993835,0.957733372,0.018781829,0.949834799,0.002783409,,
Fragaria virginiana,max,0.967335196,0.003431727,0.98177258,0.013517309,0.881098514,0.003044818,,
Prunus_avium,max,0.968524104,0.002059561,0.98312665,0.01264625,0.868855796,0.00298848,,
Prunus cerasus,max,0.970236181,0.003268011,0.976146866,0.01057066,0.893929115,0.00159733,,
Ribes rubrum,max,0.971022768,0.00218835,0.985727221,0.008369575,0.874602306,0.003097645,,
Glycine soja,max,0.972180824,0.009185745,0.893591689,0.049047839,0.962661682,0.001597138,,
Prunus_spinosa,max,0.973592274,0.00347812,0.98632255,0.009875986,0.881503449,0.002766867,,
Bertholletia excelsa Bonpl,max,0.976322822,0.013748331,0.949022536,0.020470857,0.962186269,0.001283931,,
Vaccinium oxycoccus,max,0.977787811,0.004319469,0.889139408,0.055066238,0.94567865,0.002911402,,
Castanea_sativa_Mill,max,0.978338436,0.002908646,0.98347186,0.012450372,0.904757582,0.00362171,,
Cola nitida,max,0.978914312,0.015182234,0.943171907,0.040350004,0.970690633,0.002535903,,
Vaccinium corymbosum,max,0.980011562,0.004092132,0.960128802,0.025844877,0.940472845,0.00193504,,
Cola acuminata,max,0.980693227,0.004738151,0.935214299,0.040560861,0.964467946,0.004319389,,
Fragaria chiloensis,max,0.980826667,0.009195136,0.896533395,0.082955702,0.969769461,0.001908385,,
Fragaria viridis,max,0.982754422,0.000984326,0.978746427,0.010272054,0.935799623,0.00188429,,
Rubus flagellaris,max,0.983573861,0.002175971,0.91987537,0.043071877,0.953259165,0.002028094,,
Actinidia deliciosa,max,0.983626555,0.004932158,0.903279941,0.063693685,0.964129491,0.001673651,,
Fragaria moschata,max,0.987774054,0.002155379,0.966677813,0.016490899,0.948563458,0.002682343,,
Brassica nigra,max,0.988581667,0.005685695,0.950750015,0.031913271,0.97257521,0.002303693,,
Vaccinium angustifolium,max,0.988763253,0.003059872,0.980341541,0.008884474,0.94717648,0.004210672,,
